# val_loss, val_acc, loss, acc
6.946586050965763981e-01,7.327327473206562969e-01,7.363954372946456273e-01,7.324656690278953386e-01
7.382452397242836861e-01,7.101449448129405484e-01,6.424930454787359801e-01,7.621113659244297400e-01
7.323509899412726787e-01,7.117117288950327580e-01,6.702178693386582342e-01,7.447577875244901779e-01
6.781769770759720206e-01,7.477477627831536910e-01,6.905262707500292585e-01,7.505423135716071670e-01
7.210169200961654701e-01,7.147147314505534199e-01,6.568332539544059490e-01,7.498192478157176266e-01
7.468352763502447145e-01,7.027027190805555934e-01,6.975485306887719839e-01,7.346348668773883261e-01
7.616587692015880373e-01,7.057057205621186657e-01,6.264249340766422369e-01,7.570499053746139184e-01
8.000262265538310436e-01,6.756756936644648937e-01,6.774568842024968340e-01,7.483731165625268078e-01
5.901717758393502100e-01,7.567567712551838133e-01,7.254548347241966955e-01,7.295734063275723935e-01
7.350115639132421830e-01,7.087087217751923962e-01,6.815463161972753481e-01,7.527115110978646051e-01
7.517774180249050531e-01,6.966967134325353639e-01,6.990977462356882111e-01,7.440347210574822512e-01
6.306874499664650857e-01,7.117117272840963738e-01,7.246129579050163416e-01,7.266811436272494484e-01
7.223761054846618013e-01,7.027027204230025248e-01,6.900772384636573165e-01,7.512653793274968184e-01
7.840103737942807349e-01,7.057057219045655971e-01,6.092138699621544307e-01,7.700650896270984092e-01
6.395696348569415157e-01,7.267267430150831098e-01,6.921419875288216117e-01,7.454808532157326528e-01
8.360162554560480741e-01,6.606606792759250890e-01,6.364812698708181005e-01,7.606652335075908544e-01
7.772490578191774135e-01,7.057057213675868024e-01,6.483725066622012534e-01,7.577729711305034588e-01
7.908890937362704765e-01,6.636636810259776142e-01,6.693194475582520120e-01,7.425885905800568842e-01
7.543552832023517896e-01,7.117117286265433052e-01,6.932552519886716613e-01,7.425885899335856744e-01
7.566548819477493248e-01,6.936937092660783177e-01,7.329592523761012668e-01,7.331887349777262974e-01
7.856587907215496491e-01,7.147147303765958304e-01,6.540295149718862167e-01,7.411424580339237567e-01
8.598865431708258011e-01,6.726726881555609161e-01,6.738257250079880967e-01,7.483731168857623572e-01
6.283770622433842989e-01,7.417417571351334615e-01,6.815365566154881760e-01,7.396963259403204205e-01
8.606376913753716051e-01,6.606606782019674995e-01,6.743802558029851069e-01,7.448028816330817259e-01
8.327184719545347447e-01,6.726726892295183946e-01,6.492513868141588373e-01,7.447577877830786619e-01
6.834164015624833999e-01,7.043478411176929965e-01,6.971079537285382877e-01,7.527115107746289446e-01
6.965713416402404823e-01,7.177177345430528765e-01,7.361390806912341267e-01,7.389732611541375285e-01
7.599694471101503535e-01,7.147147317190427618e-01,6.951774123110636694e-01,7.505423131837244410e-01
7.627444884798548763e-01,7.087087247285757119e-01,6.965077759096006682e-01,7.534345759486945626e-01
